Fecha,I0,I,N
2021-01-27,634759,96,
2021-01-28,634958,199,
2021-01-29,635207,249,
2021-01-30,635390,183,
2021-01-31,635530,140,
2021-02-01,635651,121,
2021-02-02,635765,114,
2021-02-03,635915,150,
2021-02-04,636073,158,
2021-02-05,636227,154,
2021-02-06,636350,123,
2021-02-07,636469,119,
2021-02-08,636594,125,
2021-02-09,636694,100,
2021-02-10,636821,127,
2021-02-11,636963,142,
2021-02-12,637104,141,
2021-02-13,637230,126,
2021-02-14,637380,150,
2021-02-15,637521,141,
2021-02-16,637615,94,
2021-02-17,637749,134,
2021-02-18,637879,130,
2021-02-19,638037,158,
2021-02-20,638189,152,
2021-02-21,638334,145,
2021-02-22,638462,128,
2021-02-23,638607,145,
2021-02-24,638807,200,
2021-02-25,639027,220,
2021-02-26,639283,256,
2021-02-27,639526,243,
2021-02-28,639723,197,
2021-03-01,639898,175,
2021-03-02,640115,217,
2021-03-03,640355,240,
2021-03-04,640616,261,
2021-03-05,640928,312,
2021-03-06,641249,321,
2021-03-07,641535,286,
2021-03-08,641774,239,
2021-03-09,642094,320,
2021-03-10,642464,370,
2021-03-11,642873,409,
2021-03-12,643304,431,
2021-03-13,643723,419,
2021-03-14,644130,407,
2021-03-15,644498,368,
2021-03-16,644923,425,
2021-03-17,645459,536,
2021-03-18,646066,607,
2021-03-19,646782,716,
2021-03-20,647595,813,
2021-03-21,648418,823,
2021-03-22,649306,888,
2021-03-23,650407,1101,
2021-03-24,651661,1254,
2021-03-25,653176,1515,
2021-03-26,654710,1534,
2021-03-27,656268,1558,
2021-03-28,658149,1881,
2021-03-29,660053,1904,
2021-03-30,661045,992,
2021-03-31,662864,1819,
2021-04-01,665654,2790,
2021-04-02,669248,3594,
2021-04-03,672815,3567,
2021-04-04,676848,4033,
2021-04-05,680396,3548,
2021-04-06,685496,5100,
2021-04-07,691002,5506,
2021-04-08,698439,7437,
2021-04-09,706960,8521,
2021-04-10,714857,7897,
2021-04-11,725631,10774,
2021-04-12,737122,11491,
2021-04-13,750590,13468,
2021-04-14,767872,17282,
2021-04-15,784571,16699,
2021-04-16,804057,19486,
2021-04-17,828432,24375,
2021-04-18,853894,25462,
2021-04-19,877580,23686,
2021-04-20,905975,28395,
2021-04-21,930613,24638,
2021-04-22,956782,26169,
2021-04-23,981113,24331,
2021-04-24,1005216,24103,
2021-04-25,1028149,22933,
2021-04-26,1048350,20201,
2021-04-27,1072499,24149,
2021-04-28,1098485,25986,
2021-04-29,1122720,24235,
2021-04-30,1149767,27047,
2021-05-01,1174986,25219,
2021-05-02,1195380,20394,
2021-05-03,1213423,18043,
2021-05-04,1233376,19953,
2021-05-05,1254336,20960,
2021-05-06,1273469,19133,
2021-05-07,1293301,19832,
2021-05-08,1310665,17364,
2021-05-09,1324001,13336,
2021-05-10,1336652,12651,
2021-05-11,1349133,12481,
2021-05-12,1362420,13287,
2021-05-13,1372909,10489,
2021-05-14,1381415,8506,
2021-05-15,1387845,6430,
2021-05-16,1394301,6456,
2021-05-17,1398825,4524,
2021-05-18,1403307,4482,
2021-05-19,1407153,3846,
2021-05-20,1410384,3231,
2021-05-21,1413393,3009,
2021-05-22,1415653,2260,
2021-05-23,1417302,1649,
2021-05-24,1418852,1550,
2021-05-25,1420420,1568,
2021-05-26,1421911,1491,
2021-05-27,1422983,1072,
2021-05-28,1424124,1141,
2021-05-29,1425080,956,
2021-05-30,1426026,946,
2021-05-31,1426674,648,
2021-06-01,1427297,623,
2021-06-02,1427873,576,
2021-06-03,1428360,487,
2021-06-04,1428883,523,
2021-06-05,1429297,414,
2021-06-06,1429678,381,
2021-06-07,1429909,231,
2021-06-08,1430225,316,
2021-06-09,1430562,337,
2021-06-10,1430867,305,
2021-06-11,1431105,238,
2021-06-12,1431318,213,
2021-06-13,1431573,255,
2021-06-14,1431704,131,
2021-06-15,1431932,228,
2021-06-16,1432144,212,
2021-06-17,1432302,158,
2021-06-18,1432467,165,
2021-06-19,1432602,135,
2021-06-20,1432726,124,
2021-06-21,1432815,89,
2021-06-22,1433212,397,
2021-06-23,1433800,588,
2021-06-24,1433909,109,
2021-06-25,1434024,115,
2021-06-26,1434109,85,
2021-06-27,1434368,259,
2021-06-28,1434427,59,
2021-06-29,1434528,101,
2021-06-30,1434622,94,
2021-07-01,1434715,93,
2021-07-02,1434808,93,
2021-07-03,1434894,86,
2021-07-04,1434988,94,
2021-07-05,1435042,54,
2021-07-06,1435121,79,
2021-07-07,1435214,93,
2021-07-08,1435307,93,
2021-07-09,1435388,81,
2021-07-10,1435464,76,
2021-07-11,1435517,53,
2021-07-12,1435562,45,
2021-07-13,1435638,76,
2021-07-14,1435715,77,
2021-07-15,1435787,72,
2021-07-16,1435853,66,
2021-07-17,1435912,59,
2021-07-18,1435963,51,
2021-07-19,1435999,36,
2021-07-20,1436043,44,
2021-07-21,1436105,62,
2021-07-22,1436154,49,
2021-07-23,1436212,58,
2021-07-24,1436278,66,
2021-07-25,1436344,66,
2021-07-26,1436383,39,
2021-07-27,1436460,77,
2021-07-28,1436527,67,
2021-07-29,1436578,51,
2021-07-30,1436641,63,
2021-07-31,1436699,58,
2021-08-01,1436784,85,
2021-08-02,1436835,51,
2021-08-03,1436885,50,
2021-08-04,1436952,67,
2021-08-05,1437013,61,
2021-08-06,1437057,44,
2021-08-07,1437129,72,
2021-08-08,1437195,66,
2021-08-09,1437234,39,
2021-08-10,1437286,52,
2021-08-11,1437323,37,
2021-08-12,1437372,49,
2021-08-13,1437422,50,
2021-08-14,1437472,50,
2021-08-15,1437525,53,
2021-08-16,1437552,27,
2021-08-17,1437590,38,
2021-08-18,1437626,36,
2021-08-19,1437651,25,
2021-08-20,1437708,57,
2021-08-21,1437727,19,
2021-08-22,1437751,24,
2021-08-23,1437768,17,
2021-08-24,1437919,151,
2021-08-25,1437984,65,
2021-08-26,1438029,45,
2021-08-27,1438090,61,
2021-08-28,1438119,29,
2021-08-29,1438150,31,
2021-08-30,1438170,20,
2021-08-31,1438198,28,
2021-09-01,1438234,36,
2021-09-02,1438273,39,
2021-09-03,1438308,35,
2021-09-04,1438363,55,
2021-09-05,1438393,30,
2021-09-06,1438425,32,
2021-09-07,1438475,50,
2021-09-08,1438516,41,
2021-09-09,1438552,36,
2021-09-10,1438588,36,
2021-09-11,1438645,57,
2021-09-12,1438667,22,
2021-09-13,1438684,17,
2021-09-14,1438722,38,
2021-09-15,1438779,57,
2021-09-16,1438807,28,
2021-09-17,1438862,55,
2021-09-18,1438903,41,
2021-09-19,1438931,28,
2021-09-20,1438951,20,
2021-09-21,1438990,39,
2021-09-22,1439020,30,
2021-09-23,1439068,48,
2021-09-24,1439092,24,
2021-09-25,1439119,27,
2021-09-26,1439148,29,
2021-09-27,1439180,32,
2021-09-28,1439214,34,
2021-09-29,1439255,41,
2021-09-30,1439302,47,
2021-10-01,1439334,32,
2021-10-02,1439367,33,
2021-10-03,1439400,33,
2021-10-04,1439434,34,
2021-10-05,1439461,27,
2021-10-06,1439487,26,
2021-10-07,1439531,44,
2021-10-08,1439570,39,
2021-10-09,1439600,30,
2021-10-10,1439629,29,
2021-10-11,1439652,23,
2021-10-12,1439686,34,
2021-10-13,1439717,31,
2021-10-14,1439745,28,
2021-10-15,1439771,26,
2021-10-16,1439792,21,
2021-10-17,1439824,32,
2021-10-18,1439839,15,
2021-10-19,1439875,36,
2021-10-20,1439900,25,
2021-10-21,1439922,22,
2021-10-22,1439960,38,
2021-10-23,1440000,40,
2021-10-24,1440037,37,
2021-10-25,1440064,27,
2021-10-26,1440105,41,
2021-10-27,1440143,38,
2021-10-28,1440185,42,
2021-10-29,1440222,37,
2021-10-30,1440259,37,
2021-10-31,1440304,45,
